Estación:       TOPOLOBAMPO,  SIN
Operada por:    SEMAR
Longitud:       109°03'73"  Longitud: 25°35'37"  Altitud: 

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC
08/02/2019 21:00         326         331       26.10       31.70        22.4          38      1013.6         0.0
08/02/2019 21:15         331         332       26.00       32.00        22.4          38      1013.5         0.0
08/02/2019 21:30         329         324       26.60       32.00        22.4          40      1013.3         0.0
08/02/2019 21:45         330         322       25.70       34.60        22.4          40      1013.2         0.0
08/02/2019 22:00         324         326       24.80       32.00        22.6          41      1013.0         0.0
08/02/2019 22:15         330         327       26.10       31.70        22.5          41      1012.8         0.0
08/02/2019 22:30         333         326       26.30       30.20        22.3          41      1012.5         0.0
08/02/2019 22:45         326         323       25.10       29.90        22.2          41      1012.4         0.0
08/02/2019 23:00         326         320       25.40       29.20        22.2          40      1012.4         0.0
08/02/2019 23:15         330         319       23.90       29.50        22.3          41      1012.2         0.0
08/02/2019 23:30         324         318       24.50       29.90        22.1          40      1012.0         0.0
08/02/2019 23:45         325         321       21.10       26.60        22.1          42      1011.8         0.0
09/02/2019 00:00         320         319       22.40       27.40        21.9          43      1011.8         0.0
09/02/2019 00:15         317         312       22.40       29.20        21.6          44      1011.7         0.0
09/02/2019 00:30         314         317       23.70       28.40        21.1          45      1011.9         0.0
09/02/2019 00:45         307         308       20.30       25.90        20.5          48      1012.2         0.0
09/02/2019 01:00         312         315       16.90       23.00        19.8          49      1012.3         0.0
09/02/2019 01:15         299         281       19.30       24.50        19.2          51      1012.5         0.0
09/02/2019 01:30         293         298       18.30       23.00        18.7          54      1012.9         0.0
09/02/2019 01:45         298         304       15.50       21.60        18.2          57      1012.9         0.0
09/02/2019 02:00         307         280        7.80       15.50        17.8          60      1012.9         0.0
09/02/2019 02:15         229          84        3.60        7.90        17.5          61      1013.1         0.0
09/02/2019 02:30         248         222        3.90       12.20        17.4          63      1013.3         0.0
09/02/2019 02:45         187         230        6.10       11.50        17.3          64      1013.6         0.0
09/02/2019 03:00         236         269        4.30       10.10        17.2          66      1013.8         0.0
09/02/2019 03:15         246         359        4.90       10.80        17.0          68      1014.3         0.0
09/02/2019 03:30         305         228        4.30        9.40        16.8          70      1014.5         0.0
09/02/2019 03:45         260         236        5.20       12.20        16.7          70      1014.6         0.0
09/02/2019 04:00         360         329       10.20       16.20        16.8          70      1014.7         0.0
09/02/2019 04:15         344           5       10.10       15.80        16.9          71      1014.7         0.0
09/02/2019 04:30           2           3        9.50       18.00        17.0          71      1014.4         0.0
09/02/2019 04:45         319          31        8.60       22.00        17.0          70      1014.6         0.0
09/02/2019 05:00         279           7        9.00       21.60        17.0          70      1014.7         0.0
09/02/2019 05:15         341         329       11.10       17.30        17.0          70      1014.5         0.0
09/02/2019 05:30         329         322       12.80       18.40        17.1          70      1014.7         0.0
09/02/2019 05:45         335           2       12.10       18.40        17.0          71      1014.8         0.0
09/02/2019 06:00         330         325       11.70       18.00        16.9          72      1014.5         0.0
09/02/2019 06:15         329         329       16.30       20.90        17.1          72      1014.3         0.0
09/02/2019 06:30         331         327       17.60       21.60        17.1          73      1014.4         0.0
09/02/2019 06:45         334         341       15.30       19.40        16.9          74      1014.2         0.0
09/02/2019 07:00         338         328       11.10       15.10        16.9          74      1014.1         0.0
09/02/2019 07:15         348         334       10.30       13.00        16.9          72      1013.8         0.0
09/02/2019 07:30          12           8        4.30        9.70        17.1          69      1013.7         0.0
09/02/2019 07:45         211         333        4.20        9.40        16.8          71      1013.9         0.0
09/02/2019 08:00         326         317       12.30       16.20        17.0          73      1014.0         0.0
09/02/2019 08:15         309         286       12.60       16.60        16.8          75      1014.1         0.0
09/02/2019 08:30         319         311       14.80       19.40        16.7          74      1014.3         0.0
09/02/2019 08:45         327         334       13.90       16.60        16.6          74      1014.4         0.0
09/02/2019 09:00         293         321        9.70       16.90        16.5          75      1014.4         0.0
09/02/2019 09:15         301         269        5.00        9.70        16.1          77      1014.2         0.0
09/02/2019 09:30         321         317        9.20       13.70        16.2          78      1014.3         0.0
09/02/2019 09:45         323         324        9.80       13.70        16.4          78      1014.2         0.0
09/02/2019 10:00         322         311       12.10       16.90        16.6          78      1014.1         0.0
09/02/2019 10:15         310         303       14.10       18.70        16.8          78      1014.2         0.0
09/02/2019 10:30         319         315       12.30       15.50        16.7          78      1014.1         0.0
09/02/2019 10:45         324         335       12.40       15.50        16.7          78      1014.1         0.0
09/02/2019 11:00         349         346        9.40       14.40        17.0          78      1013.9         0.0
09/02/2019 11:15          17         330       12.00       20.90        17.2          76      1014.1         0.0
09/02/2019 11:30         337         337       11.20       16.60        17.1          77      1014.1         0.0
09/02/2019 11:45          94          15        9.60       19.10        17.1          77      1013.8         0.0
09/02/2019 12:00         248         354        7.20       15.80        17.0          77      1013.8         0.0
09/02/2019 12:15          64          44        5.40       10.10        16.6          78      1013.9         0.0
09/02/2019 12:30         277          43        8.00       11.90        16.5          79      1014.0         0.0
09/02/2019 12:45         324         301        8.30       11.50        16.6          79      1014.2         0.0
09/02/2019 13:00         133           2        6.50       10.80        16.6          80      1014.1         0.0
09/02/2019 13:15          14         359        6.20       12.60        16.7          79      1014.2         0.0
09/02/2019 13:30          81           8       10.60       17.60        16.6          79      1014.0         0.0
09/02/2019 13:45          38          29        9.10       13.00        16.2          79      1014.1         0.0
09/02/2019 14:00          71          83       10.60       15.50        15.7          81      1013.9         0.0
09/02/2019 14:15          77          76       11.70       15.50        15.6          82      1014.1         0.0
09/02/2019 14:30          81          85       12.90       16.20        16.0          83      1014.2         0.0
09/02/2019 14:45          31          71       10.40       16.90        16.5          81      1014.7         0.0
09/02/2019 15:00          68          76        6.70       11.20        16.4          81      1014.5         0.0
09/02/2019 15:15         290         322       12.90       25.60        16.7          80      1014.9         0.0
09/02/2019 15:30         322         306       11.10       13.70        16.9          78      1015.0         0.0
09/02/2019 15:45         331         336        5.00       11.50        17.2          74      1015.4         0.0
09/02/2019 16:00         135         104        2.80        6.50        17.5          73      1015.6         0.0
09/02/2019 16:15          94          82        3.40        5.40        18.0          71      1015.8         0.0
09/02/2019 16:30         347         334        4.40        7.90        18.4          68      1016.1         0.0
09/02/2019 16:45          12         355        2.40        6.80        19.1          66      1016.4         0.0
09/02/2019 17:00         308         280        2.80        7.20        19.8          62      1016.6         0.0
09/02/2019 17:15         242         249        3.40        5.80        20.3          63      1016.6         0.0
09/02/2019 17:30         214         100        2.50        5.00        21.1          59      1016.5         0.0
09/02/2019 17:45         261         270        3.30        5.80        21.7          59      1016.5         0.0
09/02/2019 19:00         242         252       13.00       18.00        21.6          58      1016.3         0.0
09/02/2019 19:15         259         257       16.10       18.70        21.8          56      1016.4         0.0
09/02/2019 19:30         239         241       10.00       11.90        21.9          55      1015.9         0.0
09/02/2019 19:45         236         240       13.80       19.40        21.6          57      1015.9         0.0
09/02/2019 20:00         243         240       20.40       23.40        21.5          58      1016.0         0.0
09/02/2019 20:15         235         232       18.00       19.80        21.8          60      1015.6         0.0
09/02/2019 20:30         237         236       16.90       18.70        21.2          66      1015.4         0.0
09/02/2019 20:45         235         231       16.70       18.70        21.7          66      1015.3         0.0
